[INFO](2026-06-03 00:17:21.742)	 WTR:WTR:start command(from ): Update[]
[INFO](2026-06-03 00:17:21.811)	 WTR:Rcv_Format_: ACK:SERVOS/1;
[INFO](2026-06-03 00:17:21.929)	 WTR:Snd: SET:SERVOS/1; 
[INFO](2026-06-03 00:17:21.971)	 WTR:Rcv_Format_: RPS:SERVOS;
[INFO](2026-06-03 00:17:21.980)	 WTR:机械手上使能命令开始.
[INFO](2026-06-03 00:17:22.494)	 WTR:messageQueue pop: ACK:SERVOS/1; 
[INFO](2026-06-03 00:17:22.506)	 WTR:messageQueue pop: RPS:SERVOS; 
[INFO](2026-06-03 00:17:22.561)	 WTR:Snd: ACK; 
[INFO](2026-06-03 00:17:22.567)	 WTR:机械手上使能命令执行结束.
[INFO](2026-06-03 00:17:22.590)	 WTR:Rcv_Format_: ACK:LOAD/A;
[INFO](2026-06-03 00:17:22.620)	 WTR:Snd: QRY:LOAD/A; 
[INFO](2026-06-03 00:17:22.631)	 WTR:messageQueue pop: ACK:LOAD/A; 
[INFO](2026-06-03 00:17:22.940)	 WTR:Rcv_Format_: RPS:LOAD/OFF;
[INFO](2026-06-03 00:17:22.952)	 WTR:res：ACK:LOAD/A;
[INFO](2026-06-03 00:17:22.983)	 WTR:messageQueue pop: RPS:LOAD/OFF; 
[INFO](2026-06-03 00:17:22.988)	 WTR:查询A机械手有无片子RPS：RPS:LOAD/OFF;
[INFO](2026-06-03 00:17:23.020)	 WTR:arm_id:0, ishasWafer:noHas
[INFO](2026-06-03 00:17:23.055)	 WTR:Rcv_Format_: ACK:LOAD/B;
[INFO](2026-06-03 00:17:23.075)	 WTR:Snd: QRY:LOAD/B; 
[INFO](2026-06-03 00:17:23.081)	 WTR:messageQueue pop: ACK:LOAD/B; 
[INFO](2026-06-03 00:17:23.089)	 WTR:res：ACK:LOAD/B;
[INFO](2026-06-03 00:17:23.105)	 WTR:Rcv_Format_: RPS:LOAD/OFF;
[INFO](2026-06-03 00:17:23.112)	 WTR:messageQueue pop: RPS:LOAD/OFF; 
